SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300988,2024-03-18T00:00:00,GSW vs. NYK,L,33.31666666666667,8,20,0.4,4,13,0.308,7,7,1.0,0,5,5,5,2,0,0,0,1,7,27,-9,38.5,0,0,41.0,1,44,44,44,32,38,31,43,40,23,55,11,14,1,29,18,24,35,40,40,24,1,15,4,35,64,42,8,1,46,1,33:19
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300973,2024-03-16T00:00:00,GSW @ LAL,W,33.86,12,24,0.5,3,10,0.3,4,5,0.8,1,5,6,5,1,2,0,0,0,4,31,4,50.7,0,0,49.0,1,1,1,1,30,9,9,21,54,46,56,31,26,57,7,18,14,35,61,5,24,1,1,26,20,34,11,8,1,22,1,33:52
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300907,2024-03-07T00:00:00,GSW vs. CHI,L,28.7,5,18,0.278,3,12,0.25,2,2,1.0,0,3,3,1,2,0,0,0,1,2,15,9,18.1,0,0,22.0,1,44,44,44,68,63,42,69,54,34,63,50,50,1,29,43,47,68,40,40,24,1,15,51,65,24,71,8,1,70,1,28:42
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300899,2024-03-06T00:00:00,GSW vs. MIL,W,30.756666666666668,10,18,0.556,6,10,0.6,3,4,0.75,2,6,8,5,2,0,0,2,1,3,29,15,44.1,0,0,48.0,1,1,1,1,58,24,42,13,18,46,9,40,33,60,4,11,5,35,40,40,24,64,15,33,29,10,29,8,1,27,1,30:45
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300872,2024-03-03T00:00:00,GSW @ BOS,L,16.683333333333334,2,13,0.154,0,9,0.0,0,0,0.0,0,1,1,3,2,0,0,0,0,3,4,-29,7.7,0,0,8.0,1,44,44,44,74,71,69,73,72,53,72,69,69,69,29,63,68,56,40,40,24,1,1,33,74,74,74,8,1,74,1,16:41
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300860,2024-03-01T00:00:00,GSW @ TOR,W,30.101666666666667,9,22,0.409,7,15,0.467,0,0,0.0,2,4,6,6,4,0,0,0,2,1,25,12,37.2,0,0,44.0,1,1,1,1,62,27,20,42,9,12,21,69,69,69,4,30,14,20,9,40,24,1,41,67,42,17,45,8,1,36,1,30:06
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300852,2024-02-29T00:00:00,GSW @ NYK,W,31.581666666666667,11,26,0.423,8,18,0.444,1,1,1.0,2,9,11,1,3,1,0,1,0,1,31,20,45.7,1,0,53.0,1,1,1,1,48,17,4,41,6,4,27,58,60,1,4,1,1,68,25,11,24,40,1,67,20,5,24,1,1,12,1,31:35
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300834,2024-02-27T00:00:00,GSW @ WAS,W,29.633333333333333,6,21,0.286,4,16,0.25,2,2,1.0,0,5,5,6,3,1,1,0,1,1,18,1,36.0,0,0,37.0,1,1,1,1,67,56,26,66,40,7,63,50,50,1,29,18,24,20,25,11,5,1,15,67,58,39,48,8,1,54,1,29:38
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300824,2024-02-25T00:00:00,GSW vs. DEN,L,32.18,6,19,0.316,1,10,0.1,7,8,0.875,0,1,1,4,3,0,0,0,2,5,20,-22,24.2,0,0,26.0,1,44,44,44,42,56,38,63,69,46,71,11,9,53,29,63,68,45,25,40,24,1,41,14,56,72,67,8,1,67,1,32:11
2023-24,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0022300811,2024-02-23T00:00:00,GSW vs. CHA,W,31.233333333333334,5,14,0.357,3,11,0.273,2,2,1.0,0,2,2,5,4,1,0,0,1,1,15,10,23.9,0,0,27.0,1,1,1,1,53,63,64,57,54,39,61,50,50,1,29,56,57,35,9,11,24,1,15,67,65,21,68,8,1,65,1,31:14
