SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400572,2025-01-16,IND @ DET,W,33.96,7,15,0.467,2,6,0.333,1,1,1.0,0,4,4,8,0,1,1,0,2,1,17,10,39.8,0,0,35.0,1,1,1,1,33,19,19,21,31,40,32,29,32,1,26,9,16,26,49,23,10,1,35,36,28,19,30,17,1,30,1,33:58
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400543,2025-01-12,IND @ CLE,W,18.5,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,5,1,1,1,0,0,0,2,-14,15.7,0,0,12.0,1,1,1,1,54,51,53,50,49,52,49,39,39,39,26,42,48,47,29,23,10,1,1,41,52,43,53,17,1,53,1,18:30
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400525,2025-01-10,IND vs. GSW,W,34.916666666666664,8,10,0.8,2,4,0.5,7,7,1.0,0,2,2,10,5,3,0,1,1,5,25,18,46.4,1,0,45.0,1,1,1,1,25,13,44,1,31,48,6,4,5,1,26,30,36,14,1,3,26,40,13,3,12,6,16,1,1,14,1,34:55
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400510,2025-01-08,IND vs. CHI,W,30.2,7,13,0.538,2,3,0.667,0,0,0.0,0,3,3,13,1,2,0,2,1,0,16,25,44.1,1,0,38.0,1,1,1,1,46,19,30,13,31,51,1,39,39,39,26,22,26,3,29,9,26,53,13,41,33,3,20,1,1,27,1,30:12
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400495,2025-01-06,IND @ BKN,W,31.916666666666668,5,12,0.417,4,7,0.571,9,9,1.0,0,2,2,8,3,1,1,0,2,5,23,10,40.4,0,0,41.0,1,1,1,1,41,34,37,32,9,33,4,1,2,1,26,30,36,26,6,23,10,1,35,3,14,19,29,17,1,19,1,31:55
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400480,2025-01-04,IND vs. PHX,W,32.833333333333336,8,19,0.421,5,12,0.417,6,7,0.857,1,4,5,8,0,2,1,0,0,5,27,13,54.0,0,0,51.0,1,1,1,1,36,13,4,31,5,4,25,7,5,24,6,9,9,26,49,9,10,1,1,3,11,15,8,17,1,7,1,32:50
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400463,2025-01-02,IND @ MIA,W,34.67333333333333,13,21,0.619,6,13,0.462,1,3,0.333,1,4,5,15,0,2,1,0,1,3,33,26,70.5,1,0,65.0,1,1,1,1,27,1,3,6,3,3,14,29,22,38,6,9,9,1,49,9,10,1,13,15,3,2,1,1,1,1,1,34:40
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400450,2024-12-31,IND vs. MIL,L,38.63333333333333,3,13,0.231,1,6,0.167,5,6,0.833,2,5,7,7,1,1,2,0,2,3,12,-6,38.9,0,0,33.0,1,33,33,33,6,45,30,48,42,40,43,12,11,27,3,7,2,39,29,23,2,1,35,15,43,36,32,17,1,37,1,38:38
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400437,2024-12-29,IND @ BOS,W,36.13333333333333,11,19,0.579,1,6,0.167,8,9,0.889,0,6,6,7,0,1,0,0,0,6,31,13,51.7,0,0,47.0,1,1,1,1,16,4,4,10,42,40,43,3,2,23,26,1,6,39,49,23,26,1,1,2,5,15,10,17,1,11,1,36:08
2024-25,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,Indiana Pacers,0022400420,2024-12-27,IND @ BOS,L,29.633333333333333,6,13,0.462,3,8,0.375,4,4,1.0,0,4,4,9,2,0,0,1,0,2,19,-27,35.3,0,0,35.0,1,33,33,33,49,26,30,24,24,25,28,15,18,1,26,9,16,18,14,40,26,40,1,25,21,53,34,17,1,30,1,29:38
