Player,Stat Type,Prop Line,EV,Probability_Hit,Bet Direction
jalen brunson,1Q Points,7.5,1.6525714485436436,0.9084148796382342,Over
karl-anthony towns,Points,24.5,0.6830308071152359,0.5482185039463309,Under
karl-anthony towns,Pts + Rebs + Asts,41.5,1.996853703948429,0.9989512346494763,Under
karl-anthony towns,1Q Pts + Rebs + Asts,10.5,0.7749691315400479,0.591656377180016,Over
karl-anthony towns,Assists,2.5,0.9860115832089135,0.6895873552808728,Over
mikal bridges,Points,18.5,0.7627922437993416,0.5875974145997805,Under
mikal bridges,Pts + Rebs + Asts,23.5,1.8894994470113908,0.9631664823371303,Under
mikal bridges,1Q Points,5.5,1.8194464085125426,0.9124422034021173,Over
mikal bridges,Assists,3.5,0.766838591317104,0.6134856219851056,Under
josh hart,Points,15.5,1.2501195977483648,0.7500398659161216,Under
josh hart,Pts + Rebs + Asts,31.5,1.9966934193322152,0.9988978064440718,Under
josh hart,1Q Points,3.5,1.6394202263819697,0.9070172599250754,Over
josh hart,Rebounds,9.5,0.907942083611426,0.635980694537142,Under
dyson daniels,Points,14.5,1.3710070255935016,0.7903356751978339,Under
dyson daniels,Pts + Rebs + Asts,25.5,1.991097102647473,0.9970323675491577,Under
dyson daniels,1Q Pts + Rebs + Asts,7.5,0.798571150928597,0.599523716976199,Under
dyson daniels,Assists,4.5,1.2553946115589394,0.7252072705977296,Under
precious achiuwa,Points,9.5,0.906063958114494,0.6483210741886034,Under
precious achiuwa,Pts + Rebs + Asts,21.5,1.9857523316710861,0.9952507772236954,Under
precious achiuwa,Rebounds,8.5,1.2202714364000748,0.7656108401379569,Under
precious achiuwa,1Q Points,2.5,1.4959923431003403,0.8319974477001134,Over
trae young,Points,25.5,0.5532050449344303,0.5177350149781434,Under
trae young,Pts + Rebs + Asts,38.5,1.985077921427287,0.9950259738090956,Under
trae young,1Q Pts + Rebs + Asts,9.5,0.9037586630118937,0.6345862210039646,Over
trae young,Assists,9.5,0.7769522456999741,0.5923174152333247,Over
terance mann,Points,7.5,0.6103341516419927,0.5245388116097696,Over
terance mann,Pts + Rebs + Asts,12.5,1.6907907713028805,0.8969302571009602,Under
terance mann,Assists,1.5,0.6494650328705209,0.5828498349365798,Over
terance mann,Rebounds,3.5,0.5549030307058623,0.48896321720310143,Over
zaccharie risacher,Points,11.5,0.5287280843736305,0.5095760281245435,Under
zaccharie risacher,Pts + Rebs + Asts,15.5,1.8005700121687727,0.9335233373895909,Under
zaccharie risacher,Assists,1.5,0.7297548124827495,0.624460221112906,Under
zaccharie risacher,1Q Points,2.5,1.7558237215501058,0.9186079071833686,Over
caris levert,Points,12.5,0.6617375781579609,0.5539125260526536,Over
caris levert,Pts + Rebs + Asts,20.5,1.8305173945068391,0.9435057981689464,Under
caris levert,1Q Points,3.5,1.7972650516177053,0.9023435650379694,Over
caris levert,Assists,2.5,1.1956007006529163,0.7597234258314589,Over
onyeka okongwu,Points,12.5,0.9878870653415306,0.6626290217805102,Under
onyeka okongwu,Pts + Rebs + Asts,23.5,1.9851300430280743,0.9950433476760248,Under
onyeka okongwu,Assists,2.5,1.2425799459809048,0.7733034296485879,Under
onyeka okongwu,Rebounds,8.5,0.9635682697107963,0.674765728422954,Under
georges niang,Points,10.5,0.9768561768657513,0.6589520589552504,Under
georges niang,Pts + Rebs + Asts,15.5,1.9245888770692998,0.9748629590230999,Under
georges niang,Rebounds,3.5,0.8311251297103053,0.5964576969740407,Under
georges niang,1Q Points,2.5,1.5930532813565534,0.8643510937855178,Over
mouhamed gueye,Points,8.5,1.0306569183552685,0.6768856394517562,Under
mouhamed gueye,Pts + Rebs + Asts,15.5,1.8628368782618567,0.9542789594206189,Under
mouhamed gueye,1Q Points,2.5,1.1292788440117891,0.7097596146705963,Over
mouhamed gueye,Assists,0.5,0.7670940756774985,0.5290700825381732,Under
donovan mitchell,Points,24.5,0.63439783492899,0.5447992783096633,Over
donovan mitchell,Pts + Rebs + Asts,34.5,1.9761138101546094,0.9920379367182032,Under
donovan mitchell,1Q Pts + Rebs + Asts,9.5,0.7670441681659466,0.5890147227219822,Over
donovan mitchell,Rebounds,4.5,0.5185431650313843,0.49143791748588495,Over
darius garland,Points,20.5,0.5805665447249225,0.5268555149083075,Under
darius garland,Pts + Rebs + Asts,30.5,1.9818989758532686,0.9939663252844229,Under
darius garland,Assists,6.5,0.6091135103713974,0.5473175205344889,Over
darius garland,Rebounds,2.5,0.5947333214653832,0.5315777738217944,Over
immanuel quickley,Points,15.5,0.6619920455617664,0.5539973485205888,Under
immanuel quickley,Pts + Rebs + Asts,25.5,1.9508126024134778,0.9836042008044926,Under
immanuel quickley,1Q Pts + Rebs + Asts,7.5,0.5257140580363932,0.5085713526787977,Under
immanuel quickley,1Q Points,4.5,1.787456749034447,0.9079663677636635,Over
gradey dick,Points,12.5,0.5163081563077021,0.5054360521025674,Over
gradey dick,Pts + Rebs + Asts,17.5,1.7808484870091712,0.9269494956697237,Under
gradey dick,1Q Points,3.5,1.6422232064947808,0.8807410688315936,Over
gradey dick,Rebounds,3.5,0.8067070345700093,0.614526202234697,Under
de'andre hunter,Points,14.5,0.7749977535355099,0.59166591784517,Over
de'andre hunter,Pts + Rebs + Asts,19.5,1.8660355512164841,0.955345183738828,Under
de'andre hunter,Assists,1.5,0.5178714217734555,0.5059571405911518,Over
de'andre hunter,Rebounds,3.5,0.7476455329131573,0.5825485109710524,Over
jamal shead,Points,6.5,0.6337762547041187,0.5445920849013729,Under
jamal shead,Pts + Rebs + Asts,11.5,1.8415534660075812,0.9471844886691937,Under
jamal shead,Assists,3.5,0.5619980743330013,0.5087941610205216,Over
jamal shead,Rebounds,1.5,0.8014801202934301,0.6148396314994642,Under
jonathan mogbo,Points,6.5,0.8724814797069093,0.6119220521918004,Under
jonathan mogbo,Pts + Rebs + Asts,15.5,2.0509401335703097,0.9937915744528695,Under
jonathan mogbo,Assists,2.5,1.0884201291038074,0.7302168283579746,Under
jonathan mogbo,Rebounds,5.5,1.1461668018207103,0.7059759216515494,Under
ochai agbaji,Points,7.5,0.6414090590728942,0.5471363530242981,Over
ochai agbaji,Pts + Rebs + Asts,11.5,1.66433350892274,0.8678610778249967,Under
ochai agbaji,Rebounds,2.5,0.7358039564811529,0.6069244603080954,Over
ochai agbaji,Assists,1.5,0.5389383546285733,0.5535749477081199,Under
scottie barnes,Points,19.5,0.7901999368256125,0.5831270152526424,Under
scottie barnes,Pts + Rebs + Asts,33.5,1.9948126969642226,0.9982708989880742,Under
scottie barnes,Rebounds,7.5,0.5929012464704713,0.5121868959712126,Over
scottie barnes,1Q Pts + Rebs + Asts,8.5,0.7837105236273563,0.5945701745424521,Over
rj barrett,Points,17.5,0.8682885449099749,0.622762848303325,Over
rj barrett,Pts + Rebs + Asts,27.5,1.9544135579233926,0.9848045193077976,Under
rj barrett,1Q Points,4.5,1.9929030307340234,0.9812796822078766,Over
rj barrett,Assists,3.5,0.5577337338604607,0.5465732399510388,Over
evan mobley,Points,18.5,0.8034267308815495,0.6011422436271832,Under
evan mobley,Pts + Rebs + Asts,31.5,1.99395927393959,0.99798642464653,Under
evan mobley,Rebounds,9.5,0.7135076323396459,0.563653826427515,Under
evan mobley,1Q Pts + Rebs + Asts,10.5,0.6479323881471366,0.5493107960490455,Under
jarrett allen,Points,13.5,0.6591370340724294,0.5439793554335834,Over
jarrett allen,Pts + Rebs + Asts,27.5,1.9849254513072627,0.9949751504357542,Under
jarrett allen,1Q Points,3.5,1.7963573366410752,0.9609475383646306,Over
jarrett allen,1Q Pts + Rebs + Asts,8.5,0.5429102242377077,0.5143034080792359,Over
max strus,Points,9.5,0.6877499257867807,0.5625833085955936,Over
max strus,Pts + Rebs + Asts,17.5,1.8439086994403802,0.9479695664801268,Under
max strus,Assists,2.5,0.5468824021278912,0.5352534263418308,Over
max strus,1Q Points,2.5,1.6723121070830689,0.890770702361023,Over
ja'kobe walter,Points,6.5,0.7231181441845068,0.5860946068654785,Over
ja'kobe walter,Pts + Rebs + Asts,10.5,1.5459050778241246,0.8486350259413749,Under
ja'kobe walter,Rebounds,2.5,0.5036150242201087,0.48347749974923104,Over
ja'kobe walter,Assists,1.5,0.5807908797142514,0.4704734761054319,Over
sam merrill,Points,9.5,0.927070660944369,0.6599557058028661,Under
sam merrill,Pts + Rebs + Asts,14.5,1.8725908423404447,0.9575302807801482,Under
sam merrill,Rebounds,3.5,1.4078815111685719,0.8419166122967034,Under
sam merrill,Assists,1.5,0.5697124529266,0.5146598206316721,Over
chris boucher,Points,7.5,0.8139216685902668,0.6046405561967556,Over
chris boucher,Pts + Rebs + Asts,12.5,1.5761145432656618,0.8587048477552206,Under
chris boucher,Assists,0.5,0.5589077513885046,0.5028734681898401,Over
chris boucher,Rebounds,4.5,0.6576715920969084,0.5525571973656361,Over
paul george,Points,19.5,0.7641171399498321,0.6041497054622713,Over
paul george,Pts + Rebs + Asts,30.5,1.9479061653465237,0.9826353884488412,Under
paul george,Rebounds,5.5,0.7396527161781865,0.5575809987750597,Over
paul george,1Q Points,5.5,1.8329477919648967,0.9701875999879783,Over
d'angelo russell,Points,13.5,0.9733430726244825,0.6712051267430212,Over
d'angelo russell,Pts + Rebs + Asts,22.5,1.8238049951644948,0.9412683317214983,Under
d'angelo russell,Assists,5.5,0.6862221393873056,0.5774733354066115,Over
d'angelo russell,Rebounds,2.5,0.9374893064712853,0.6229869152640788,Over
quentin grimes,Points,14.5,1.3217442142886697,0.7739147380962232,Under
quentin grimes,Pts + Rebs + Asts,22.5,1.974035786437112,0.9913452621457041,Under
quentin grimes,1Q Points,3.5,1.4980797734044846,0.7981085538033498,Over
quentin grimes,Assists,3.5,1.4390039276471787,0.8410358371197167,Under
justin edwards,Points,8.5,0.6243122898256741,0.5414374299418914,Under
justin edwards,Pts + Rebs + Asts,12.5,1.7445406819122078,0.9148468939707359,Under
justin edwards,1Q Points,1.5,1.5468560897212555,0.872210989630567,Over
justin edwards,Rebounds,2.5,0.798390537857383,0.6288078803697144,Over
day'ron sharpe,Points,9.5,1.2375740385307676,0.7458580128435892,Under
day'ron sharpe,Pts + Rebs + Asts,16.5,1.954952053982949,0.9849840179943163,Under
day'ron sharpe,Rebounds,5.5,0.5718796234676563,0.5239598744892188,Over
day'ron sharpe,Assists,1.5,0.7390444026615499,0.57968146755385,Under
jared butler,Points,10.5,1.337038902487581,0.7790129674958604,Under
jared butler,Pts + Rebs + Asts,18.5,1.9755242433347817,0.9918414144449272,Under
jared butler,Assists,4.5,1.4820416105762302,0.7929845401202014,Under
jared butler,Rebounds,2.5,1.252378488092036,0.7793697190629881,Under
trendon watford,Points,8.5,0.7503614873645537,0.5834538291215179,Under
trendon watford,Pts + Rebs + Asts,14.5,1.8646935942570355,0.9548978647523452,Under
trendon watford,Rebounds,3.5,0.5341155850186787,0.4885718423626366,Over
trendon watford,Assists,2.5,1.0133270754437116,0.7190453840870398,Under
jalen wilson,Points,7.5,0.6548506168860978,0.5516168722953659,Over
jalen wilson,Pts + Rebs + Asts,12.5,1.7849987162965775,0.9283329054321925,Under
jalen wilson,Rebounds,2.5,0.8662922455383034,0.652549736202204,Over
jalen wilson,Assists,1.5,0.6254563189663647,0.5418187729887882,Over
nic claxton,Pts + Rebs + Asts,21.5,1.973686742704444,0.9912289142348146,Under
nic claxton,Rebounds,7.5,0.6846755891666159,0.5769436949200739,Over
nic claxton,1Q Points,2.5,1.9951378415155336,0.9478284308593461,Over
nic claxton,Assists,1.5,0.6460825299990465,0.5878866178568023,Over
guerschon yabusele,Points,13.5,1.0519209347413252,0.6839736449137751,Under
guerschon yabusele,Pts + Rebs + Asts,23.5,1.972473815930936,0.990824605310312,Under
guerschon yabusele,Rebounds,6.5,1.0689594440748171,0.676130537279352,Under
guerschon yabusele,Assists,2.5,0.9664724625103104,0.6554908208367701,Under
keon johnson,Points,12.5,1.2151727045689036,0.7215546268954083,Under
keon johnson,Pts + Rebs + Asts,20.5,1.8626383138087266,0.9871166599340436,Under
keon johnson,Assists,2.5,1.057697149359641,0.659518317102449,Under
keon johnson,1Q Points,2.5,1.5100928162202853,0.8229812512197657,Over
ziaire williams,Points,9.5,0.731155154202505,0.5770517180675017,Under
ziaire williams,Pts + Rebs + Asts,16.5,1.8961204113539678,0.9653734704513226,Under
ziaire williams,Rebounds,4.5,0.9593742012613218,0.63002385892647,Under
ziaire williams,1Q Points,2.5,1.5544854417959775,0.8375362104249107,Over
tosan evbuomwan,Points,8.5,0.5668853022523407,0.5154227967935331,Over
tosan evbuomwan,Pts + Rebs + Asts,14.5,1.809856249067459,0.9557334180501561,Under
tosan evbuomwan,Rebounds,3.5,0.6401089171992119,0.569482262916393,Over
tosan evbuomwan,Assists,1.5,0.6076710142054309,0.5253826843808598,Under
tyrese martin,Points,5.5,0.790487624618995,0.5968292082063317,Over
tyrese martin,Pts + Rebs + Asts,11.5,1.5582183543803034,0.8527394514601011,Under
tyrese martin,Assists,1.5,0.5727561241427265,0.4945773975291593,Under
tyrese martin,Rebounds,2.5,0.83920037334159,0.6498941248556855,Over
anthony edwards,Points,30.5,1.1809757797619684,0.7269919265873228,Under
anthony edwards,Pts + Rebs + Asts,43.5,1.9982349905556709,0.9994116635185569,Under
anthony edwards,1Q Points,8.5,1.8893027460583642,0.9631009153527881,Over
anthony edwards,Rebounds,6.5,0.8976135109255017,0.6543494865260351,Under
rudy gobert,Points,11.5,0.8852828429733698,0.6284276143244566,Over
rudy gobert,Pts + Rebs + Asts,24.5,1.9598467480210617,0.9866155826736872,Under
rudy gobert,Rebounds,11.5,0.7423848060026701,0.5657093525982695,Over
rudy gobert,Assists,1.5,0.5014666493106783,0.5004888831035594,Under
jaden mcdaniels,Points,13.5,1.0969582616727056,0.6897889018660216,Under
jaden mcdaniels,Pts + Rebs + Asts,23.5,1.9915091294433196,0.9971697098144399,Under
jaden mcdaniels,Assists,2.5,1.1338270208091468,0.7620810788604095,Under
jaden mcdaniels,Rebounds,6.5,1.3972310620780228,0.7990770206926743,Under
bobby portis,Points,18.5,1.3363535152886163,0.7787845050962054,Under
bobby portis,Pts + Rebs + Asts,30.5,1.9965171355583793,0.9988390451861264,Under
bobby portis,Rebounds,10.5,1.2338830360567647,0.7598241619240697,Under
bobby portis,1Q Pts + Rebs + Asts,7.5,0.5351824644125593,0.5117274881375198,Over
taurean prince,Points,8.5,0.5737111118277951,0.524570370609265,Over
taurean prince,Pts + Rebs + Asts,15.5,1.8970702784440232,0.9656900928146744,Under
taurean prince,Rebounds,3.5,0.6043667467781814,0.5277522193349281,Under
taurean prince,Assists,2.5,1.0762502956712146,0.7062075835616376,Under
rob dillingham,Points,9.5,1.3072347250144523,0.7690782416714841,Under
rob dillingham,Pts + Rebs + Asts,17.5,1.9809099207385847,0.9936366402461949,Under
rob dillingham,Rebounds,2.5,1.4726019899949558,0.824200663331652,Under
rob dillingham,Assists,4.5,1.3832522378674201,0.8161822732422672,Under
kyle kuzma,Points,19.5,0.7325747755593615,0.5775249251864538,Under
kyle kuzma,Pts + Rebs + Asts,29.5,1.9602149201203338,0.986738306706778,Under
kyle kuzma,1Q Points,5.5,1.7985856453845002,0.9328618817948334,Over
kyle kuzma,Rebounds,7.5,0.8322129496683174,0.6253286517639308,Under
brook lopez,Points,13.5,0.5759333946038542,0.5360317668720592,Under
