Player,Current Team,Opponent Team,Stat Type,Prop Line,Predicted Value,Variance,Date Range
Olivier-Maxence Prosper,DAL,MIA,assists,2.5,1.98,5.04,2024-12-15 to 2025-02-06
Max Christie,DAL,MIA,points,14.5,16.7,12.0,2024-12-23 to 2025-02-08
Max Christie,DAL,MIA,pts_rebs_asts,23.5,24.66,15.09,2024-12-23 to 2025-02-08
Max Christie,DAL,MIA,rebounds,5.5,4.46,1.96,2024-12-23 to 2025-02-08
Lauri Markkanen,UTA,LAC,points,19.5,20.96,41.46,2024-12-03 to 2025-02-07
Lauri Markkanen,UTA,LAC,pts_rebs_asts,25.5,27.14,46.31,2024-12-03 to 2025-02-07
Lauri Markkanen,UTA,LAC,assists,0.5,0.7,0.28,2024-12-03 to 2025-02-07
Lauri Markkanen,UTA,LAC,rebounds,5.5,5.48,4.57,2024-12-03 to 2025-02-07
John Collins,UTA,LAC,points,17.5,17.87,3.07,2024-11-16 to 2025-02-07
John Collins,UTA,LAC,pts_rebs_asts,26.5,26.89,8.61,2024-11-16 to 2025-02-07
John Collins,UTA,LAC,assists,1.5,0.91,0.63,2024-11-16 to 2025-02-07
Keyonte George,UTA,LAC,points,17.5,16.38,21.78,2024-12-03 to 2025-02-08
Keyonte George,UTA,LAC,pts_rebs_asts,26.5,28.35,30.94,2024-12-03 to 2025-02-08
Keyonte George,UTA,LAC,rebounds,3.5,4.25,3.69,2024-12-03 to 2025-02-08
Walker Kessler,UTA,LAC,points,11.5,11.58,19.15,2024-11-26 to 2025-02-03
Walker Kessler,UTA,LAC,pts_rebs_asts,23.5,24.03,26.6,2024-11-26 to 2025-02-03
Walker Kessler,UTA,LAC,rebounds,11.5,11.17,6.92,2024-11-26 to 2025-02-03
Walker Kessler,UTA,LAC,assists,1.5,1.28,0.53,2024-11-26 to 2025-02-03
Isaiah Collier,UTA,LAC,points,10.5,12.42,15.78,2024-12-26 to 2025-02-08
Isaiah Collier,UTA,LAC,pts_rebs_asts,23.5,26.04,20.08,2024-12-26 to 2025-02-08
Isaiah Collier,UTA,LAC,rebounds,3.5,4.67,2.71,2024-12-26 to 2025-02-08
