player_id,player_name,total_games,train_games,test_games,PTS_optimized_r2,PTS_optimized_mae,PTS_optimized_correlation,PTS_optimized_directional_acc,PTS_optimized_bias,PTS_best_baseline,PTS_best_baseline_r2,PTS_improvement,PTS_performance,REB_optimized_r2,REB_optimized_mae,REB_optimized_correlation,REB_optimized_directional_acc,REB_optimized_bias,REB_best_baseline,REB_best_baseline_r2,REB_improvement,REB_performance,AST_optimized_r2,AST_optimized_mae,AST_optimized_correlation,AST_optimized_directional_acc,AST_optimized_bias,AST_best_baseline,AST_best_baseline_r2,AST_improvement,AST_performance
203497,Rudy Gobert,504,404,100,-0.04755432485770905,4.772871287128713,0.07499526273561988,0.47,1.2671287128712871,Linear_Trend,0.035608401507901344,-0.0831627263656104,Baseline Better,-0.030240807586687346,3.3411386138613866,0.12854275989641878,0.5,0.8811386138613861,Linear_Trend,0.01734084737303343,-0.047581654959720776,Baseline Better,-0.2678346945089325,1.1040346534653467,-0.05193199629878944,0.52,-0.7159653465346534,Weighted_Avg,-0.15525408030183852,-0.11258061420709398,Baseline Better
1626145,Tyus Jones,503,403,100,-0.18212308563564883,4.9349627791563275,-0.0780446835061103,0.55,-2.4250372208436723,MA_10,-0.021671465136072543,-0.1604516204995763,Baseline Better,-0.06757982773193438,1.232059553349876,-0.09175925000840146,0.54,-0.38794044665012406,Linear_Trend,-0.12455807063610935,0.05697824290417497,Significant Improvement,-0.3203498288971478,2.8526302729528537,-0.5038893508253557,0.66,-1.4326302729528535,EWMA,0.2454607533190073,-0.5658105822161551,Baseline Better
1628389,Bam Adebayo,498,399,99,-0.06838340351353778,5.436723120933647,0.003833011141573035,0.48484848484848486,-1.73975342396395,Linear_Trend,-0.05037637970568665,-0.01800702380785113,Baseline Better,-0.05549683064271682,2.618338776233513,-0.08593644477034043,0.48484848484848486,-0.7553985975038606,Weighted_Avg,-0.08045732627798685,0.02496049563527003,Minor Improvement,-0.23304579635758338,2.089288878762563,-0.13144311653083993,0.5757575757575758,-1.1430343535606693,Weighted_Avg,-0.11285421529003248,-0.1201915810675509,Baseline Better
1628386,Jarrett Allen,496,397,99,-0.03544792120090112,4.996539704348269,0.04578885802453223,0.5656565656565656,-1.1783578861664503,Linear_Trend,-0.025473080602349096,-0.009974840598552026,Baseline Better,-0.03708982702792607,3.194081876701524,0.006278297718414988,0.43434343434343436,-0.7496374322570797,MA_10,-0.07374154997585713,0.036651722947931065,Minor Improvement,-0.471001489973325,1.3712184820497164,-0.0691515971022387,0.6363636363636364,-1.053023942192708,Weighted_Avg,-0.16599012311330585,-0.3050113668600192,Baseline Better
1627736,Malik Beasley,494,396,98,-0.22296135233582093,6.392934446505875,0.06870123895592854,0.46938775510204084,-3.280534941249227,Linear_Trend,0.011307959085122166,-0.2342693114209431,Baseline Better,-0.035974686894509444,1.4202999381570809,0.019227057582515073,0.45918367346938777,0.33866728509585653,Linear_Trend,-0.03441272350093838,-0.0015619633935710642,Baseline Better,-0.20775930489653405,1.0358431251288396,0.029609350879244926,0.5408163265306123,-0.6072716965574109,Weighted_Avg,-0.14113253316979635,-0.0666267717267377,Baseline Better
1627827,Dorian Finney-Smith,489,392,97,-0.02763541290650795,4.343204292026089,-0.16388601745237452,0.4329896907216495,0.8174310961498,Weighted_Avg,-0.0882400639459533,0.060604651039445345,Significant Improvement,-0.013047459572547382,1.6499316221333897,0.13098057343677771,0.5567010309278351,0.2891068798653482,Linear_Trend,-0.08254079177602813,0.06949333220348075,Significant Improvement,-0.15072143844288766,1.1808594571849358,-0.10601467302226471,0.5463917525773195,-0.571717862402693,Linear_Trend,-0.12665929203539816,-0.024062146407489493,Baseline Better
1628973,Jalen Brunson,487,390,97,-1.3176858128008475,12.322706846418187,-0.23163739870587252,0.5463917525773195,-11.209304784562518,MA_10,-0.04941103722281959,-1.268274775578028,Baseline Better,-0.00018314342608749534,1.3012952683055776,0.0,0.6701030927835051,0.002326196140629122,Weighted_Avg,-0.1687936262560199,0.1686104828299324,Major Improvement,-1.210987023113506,3.5002379064234734,-0.13276574241410774,0.5567010309278351,-3.1291038858049167,Linear_Trend,-0.1121301311519487,-1.0988568919615573,Baseline Better
1628989,Kevin Huerter,482,386,96,-0.025372070678417957,5.562526986183074,0.06368641048554784,0.4375,1.1458603195164077,EWMA,0.07298632505595026,-0.09835839573436822,Baseline Better,-0.0008487894787436723,1.578017055267703,-0.0015848178969576376,0.6354166666666666,-0.02614961139896373,Weighted_Avg,-0.08370814279319516,0.08285935331445149,Significant Improvement,-0.08860027448316687,1.4382286269430054,-0.0017038945061047632,0.5104166666666666,0.10489529360967187,EWMA,0.03785822894472535,-0.12645850342789222,Baseline Better
203501,Tim Hardaway Jr.,475,380,95,-0.4729012312860019,6.72584487534626,-0.15213451435562989,0.3894736842105263,4.304792243767313,Linear_Trend,-0.09145748375168439,-0.38144374753431753,Baseline Better,-0.12747086417189424,1.4465096952908587,-0.08369243601807741,0.43157894736842106,0.604404432132964,Linear_Trend,-0.12142135496348505,-0.006049509208409187,Baseline Better,-0.2732170794344244,1.0846537396121883,0.18912960823496996,0.4842105263157895,-0.6846537396121883,Weighted_Avg,-0.1432998984903333,-0.1299171809440911,Baseline Better
1626172,Kevon Looney,475,380,95,-0.050304045423491095,2.5754293628808864,-0.14212978349613714,0.3894736842105263,0.6596398891966759,Linear_Trend,-0.055982336826253976,0.005678291402762881,Minor Improvement,-0.016149010144836495,2.648337950138504,-0.08644940474386689,0.47368421052631576,0.35360110803324096,Weighted_Avg,0.008297997534448154,-0.02444700767928465,Baseline Better,-0.09633622480947257,0.9055678670360111,0.04340723817275459,0.631578947368421,-0.4213573407202216,Weighted_Avg,-0.08282443437823739,-0.013511790431235182,Baseline Better
203944,Julius Randle,472,378,94,-0.0060258422460988115,5.9137397275695145,0.1766471330706794,0.5,1.1288134639198468,Linear_Trend,0.1415694076168459,-0.1475952498629447,Baseline Better,-0.32295882276809973,2.475543172351683,0.019275194380862594,0.4574468085106383,1.496819768096364,Linear_Trend,-0.013214972207040931,-0.3097438505610588,Baseline Better,-0.09528100579623588,1.7300742992232354,0.015864508189580396,0.5212765957446809,-0.6662445119891929,EWMA,-0.10755337328130121,0.012272367485065327,Minor Improvement
