Player 1,Stat 1,Player 2,Stat 2,Correlation
Domantas Sabonis,pts,Keegan Murray,reb,0.32409808961886777
Kyrie Irving,reb,Olivier-Maxence Prosper,ast,-0.31736323741169464
Keegan Murray,pts,Trey Lyles,pts,-0.3152975842122391
Keegan Murray,pts,Trey Lyles,reb,0.3118939075101668
Isaiah Collier,reb,Keyonte George,pts,0.31160466447440505
Malik Monk,pts,Trey Lyles,reb,0.31153242394751113
John Collins,ast,Walker Kessler,ast,0.3085284693175128
Demar Derozan,pts,Keegan Murray,reb,0.30455455186439856
Keegan Murray,reb,Keon Ellis,pts,-0.3042264408853725
Keegan Murray,reb,Trey Lyles,pts,0.29862946967412735
Naz Reid,ast,Rudy Gobert,pts,-0.2952402767836715
Malik Monk,pts,Trey Lyles,ast,0.2929499536569484
Kyrie Irving,reb,Naji Marshall,pts,-0.2903593845292492
Isaiah Collier,reb,Lauri Markkanen,ast,0.28474739872574967
Mike Conley,reb,Rudy Gobert,pts,0.2835757724969035
Isaiah Collier,reb,Lauri Markkanen,pts,-0.2833056304807235
Keegan Murray,pts,Keon Ellis,ast,-0.28313295164091734
Anthony Edwards,ast,Jaden Mcdaniels,pts,-0.27976079395571724
Demar Derozan,pts,Trey Lyles,pts,0.2766729014795497
Lauri Markkanen,ast,Walker Kessler,reb,-0.2739366216846243
Klay Thompson,pts,Naji Marshall,pts,0.2734876773230268
Keon Ellis,pts,Trey Lyles,ast,0.2710458632458977
Mike Conley,reb,Rudy Gobert,ast,-0.26974111770809456
Keyonte George,pts,Walker Kessler,reb,0.2673874491160228
Keyonte George,pts,Lauri Markkanen,reb,-0.26601355871806925
Keyonte George,reb,Walker Kessler,pts,0.26548032850882913
Keyonte George,pts,Walker Kessler,ast,0.26417793458557165
Isaiah Collier,reb,Lauri Markkanen,reb,0.2638466782339122
Anthony Edwards,ast,Rudy Gobert,pts,0.26069560032432304
Demar Derozan,pts,Keegan Murray,pts,0.25555213764862916
Malik Monk,pts,Trey Lyles,pts,-0.2538194130142649
John Collins,pts,Keyonte George,pts,-0.2521762965736138
Keyonte George,reb,Lauri Markkanen,reb,0.24665387753791132
Demar Derozan,ast,Keon Ellis,reb,0.24301201956771237
Anthony Edwards,pts,Jaden Mcdaniels,reb,-0.24211242899683455
Isaiah Collier,pts,Walker Kessler,pts,0.24200437780500605
Naz Reid,pts,Rudy Gobert,ast,-0.23129710313078117
Lauri Markkanen,pts,Walker Kessler,reb,0.23062523114535188
Kyrie Irving,pts,Naji Marshall,reb,0.22861806553716438
Naji Marshall,ast,Olivier-Maxence Prosper,ast,-0.22210384175829206
Keon Ellis,ast,Malik Monk,pts,-0.2162540463861682
Klay Thompson,ast,Olivier-Maxence Prosper,pts,0.20846141339211982
Keon Ellis,pts,Trey Lyles,pts,0.20650131292087026
Keon Ellis,ast,Trey Lyles,ast,0.20194641712369385
Isaiah Collier,pts,Lauri Markkanen,pts,-0.19992731237266742
Keyonte George,pts,Walker Kessler,pts,0.1980805321238253
Jaden Mcdaniels,pts,Rudy Gobert,pts,0.19539116392860542
Kyrie Irving,reb,Naji Marshall,reb,-0.19395498552707258
John Collins,pts,Walker Kessler,ast,0.19031096138875878
Anthony Edwards,pts,Mike Conley,pts,0.18986499697655546
Lauri Markkanen,reb,Walker Kessler,pts,0.18678168149188307
Keyonte George,reb,Walker Kessler,ast,0.18077538151554678
Klay Thompson,ast,Naji Marshall,reb,0.17965360249881301
Buddy Hield,pts,Stephen Curry,reb,0.17857182263792207
Mike Conley,pts,Naz Reid,reb,0.17853026484275525
Mike Conley,ast,Naz Reid,ast,0.17591595525900844
Demar Derozan,pts,Domantas Sabonis,pts,-0.17471993343813172
Isaiah Collier,reb,Walker Kessler,pts,0.17387982240821165
Kyrie Irving,pts,Naji Marshall,pts,-0.17226197898304768
Demar Derozan,pts,Keon Ellis,pts,-0.16985622667592576
Buddy Hield,reb,Stephen Curry,pts,0.1615130773451612
Kyrie Irving,reb,Olivier-Maxence Prosper,pts,-0.15748599539579866
Isaiah Collier,reb,John Collins,pts,-0.15487661515622617
Naji Marshall,pts,Olivier-Maxence Prosper,pts,-0.1548230294708944
Keon Ellis,reb,Trey Lyles,ast,0.1523049915090267
Klay Thompson,ast,Naji Marshall,pts,-0.15229114323390483
Jaden Mcdaniels,reb,Rudy Gobert,ast,-0.15060514237387057
John Collins,ast,Keyonte George,reb,0.14864805509214485
Isaiah Collier,pts,Keyonte George,reb,-0.14806692656959355
John Collins,pts,Lauri Markkanen,reb,-0.14751568559478245
Jaden Mcdaniels,pts,Mike Conley,reb,0.14656132316774068
Klay Thompson,pts,Kyrie Irving,reb,-0.14456103172265006
Keyonte George,reb,Lauri Markkanen,pts,0.14427750472943596
Anthony Edwards,pts,Naz Reid,pts,0.14258765790457217
Mike Conley,ast,Rudy Gobert,pts,-0.13829261369004492
Domantas Sabonis,pts,Trey Lyles,reb,-0.13826326008249334
John Collins,ast,Keyonte George,pts,-0.13521577574577817
Anthony Edwards,ast,Naz Reid,pts,-0.13506136640404817
Keon Ellis,pts,Malik Monk,pts,0.13280867720852113
Demar Derozan,ast,Keegan Murray,reb,0.13190821537285224
Demar Derozan,pts,Keon Ellis,ast,-0.12863600387382573
Anthony Edwards,pts,Mike Conley,reb,-0.1263369902529819
Anthony Edwards,pts,Rudy Gobert,ast,-0.12052867665652392
Kyrie Irving,ast,Olivier-Maxence Prosper,pts,-0.12014453477868112
Keegan Murray,pts,Keon Ellis,pts,-0.1134445506758923
Naji Marshall,pts,Olivier-Maxence Prosper,ast,-0.11306675421666137
Keegan Murray,reb,Keon Ellis,ast,0.10736218768385025
Jaden Mcdaniels,reb,Naz Reid,reb,0.10334333454404095
Isaiah Collier,reb,Keyonte George,reb,-0.10332378624553092
Klay Thompson,pts,Olivier-Maxence Prosper,pts,-0.10229076568999033
Jaden Mcdaniels,reb,Mike Conley,ast,-0.10192061437387939
Domantas Sabonis,pts,Keon Ellis,ast,-0.09916008083533089
Lauri Markkanen,ast,Walker Kessler,ast,0.09731236802019037
Jaden Mcdaniels,pts,Rudy Gobert,ast,-0.09384728868330615
Keegan Murray,pts,Malik Monk,pts,0.09306120587078308
Klay Thompson,ast,Kyrie Irving,pts,-0.0901327400275888
Keon Ellis,pts,Trey Lyles,reb,-0.089689705866175
Buddy Hield,pts,Stephen Curry,ast,-0.08592497251893072
Klay Thompson,ast,Naji Marshall,ast,-0.08483245639543939
Naji Marshall,reb,Olivier-Maxence Prosper,ast,-0.08270160475406219
Mike Conley,pts,Rudy Gobert,pts,0.08230150694067122
Mike Conley,reb,Naz Reid,ast,-0.0817304193964853
Keon Ellis,reb,Trey Lyles,pts,-0.08028098364828674
Mike Conley,reb,Naz Reid,pts,-0.07974100741939845
Klay Thompson,pts,Olivier-Maxence Prosper,ast,-0.07807853505939434
Naz Reid,ast,Rudy Gobert,ast,-0.07343785265711554
Kyrie Irving,pts,Olivier-Maxence Prosper,ast,-0.07301020754057114
Lauri Markkanen,pts,Walker Kessler,ast,-0.07107784471237544
Kyrie Irving,ast,Naji Marshall,pts,0.0693302844197868
Domantas Sabonis,pts,Keegan Murray,pts,0.0681651370449857
Klay Thompson,ast,Kyrie Irving,reb,-0.06715067586470617
Keon Ellis,reb,Trey Lyles,reb,0.06693494407520822
Mike Conley,ast,Rudy Gobert,ast,-0.06347607254268707
Mike Conley,pts,Rudy Gobert,ast,0.061648742228448884
Kyrie Irving,ast,Naji Marshall,reb,0.06008898426788196
Keon Ellis,reb,Malik Monk,pts,0.0552370545695017
Keegan Murray,reb,Malik Monk,pts,-0.05415595319821381
Jaden Mcdaniels,reb,Rudy Gobert,pts,0.05339447740843069
Demar Derozan,pts,Keon Ellis,reb,-0.050004051418292436
Keyonte George,reb,Walker Kessler,reb,-0.04370188612670309
Jaden Mcdaniels,pts,Naz Reid,reb,0.039983326817845805
John Collins,ast,Lauri Markkanen,pts,0.03954165180460233
Klay Thompson,ast,Kyrie Irving,ast,-0.0379571176849069
Demar Derozan,ast,Keon Ellis,ast,-0.03695475350695749
Buddy Hield,reb,Stephen Curry,reb,0.03087831979082573
Anthony Edwards,pts,Mike Conley,ast,-0.01791331424694005
Demar Derozan,ast,Trey Lyles,reb,0.017587762049713632
Klay Thompson,pts,Naji Marshall,ast,-0.016684545187550293
Isaiah Collier,reb,John Collins,ast,-0.01132204459261712
Domantas Sabonis,pts,Keon Ellis,pts,0.009062740034804772
Demar Derozan,pts,Malik Monk,pts,-0.005298677399745024
Mike Conley,pts,Naz Reid,ast,0.0020177700563396082
