Player,Points Mean,Points Std Dev,Points Distribution,Points MSE,Points Params,Rebounds Mean,Rebounds Std Dev,Rebounds Distribution,Rebounds MSE,Rebounds Params,Assists Mean,Assists Std Dev,Assists Distribution,Assists MSE,Assists Params,Total Mean,Total Std Dev,Total Distribution,Total MSE,Total Params
Isaiah Collier,10.079660476904548,5.5724122611800055,triang,119.88978132347161,"(np.float64(0.3847213841969699), np.float64(-2.410732108182817), np.float64(27.060445648416447))",4.5,2.0207259421636903,uniform,18.719727891156463,"(1.0, 7.0)",7.833333333333333,5.833333333333333,expon,68.42158073550347,"(2.0, 5.833333333333333)",21.233333333333334,17.233333333333334,expon,517.2083705636434,"(4.0, 17.233333333333334)"
KJ Martin,10.0,5.773502691896257,uniform,69.43527777777777,"(0.0, 20.0)",3.0,3.0,expon,12.074735431510126,"(0.0, 3.0)",0.8148148059844971,0.8148148301043467,pareto,1.4792315252783295,"(np.float64(41180440.49999998), np.float64(-33554432.0), np.float64(33554431.999999996))",11.0,7.332959212304937,laplace,150.45340088219083,"(np.float64(11.0), np.float64(5.185185185185185))"
Alperen Sengun,18.0,8.296719565922157,laplace,429.16331589894713,"(np.float64(18.0), np.float64(5.866666666666666))",10.668487916177973,3.230425704753649,weibull_min,121.4277290204172,"(np.float64(1.5854248955682575), np.float64(5.6623091288692295), np.float64(5.578873529730535))",4.433333333333334,4.433333333333334,expon,23.539738071617272,"(0.0, 4.433333333333334)",34.266666666666666,31.266666666666666,expon,1265.2348618738447,"(3.0, 31.266666666666666)"
Chris Paul,12.144081730728201,4.140770827095397,triang,91.70740141434756,"(np.float64(0.9999986481808529), np.float64(0.43221320602189023), np.float64(17.567814661313584))",4.5,2.598076211353316,uniform,20.044855967078192,"(0.0, 9.0)",8.0,2.3098821518760553,laplace,64.8357281409007,"(np.float64(8.0), np.float64(1.6333333333333333))",20.197654727253617,6.321783675860108,weibull_min,446.2917891325509,"(np.float64(4.666557182774965), np.float64(-5.718554890936233), np.float64(28.339160448200182))"
Devin Vassell,15.0,5.773502691896257,uniform,269.35175,"(5.0, 20.0)",5.0,2.309401076758503,uniform,18.746354166666666,"(1.0, 8.0)",2.7666666666666666,2.7666666666666666,expon,10.041570807724419,"(0.0, 2.7666666666666666)",20.0,7.505553499465135,uniform,536.3370315581853,"(7.0, 26.0)"
Dillon Brooks,14.1,10.1,expon,253.93200996021457,"(4.0, 10.1)",4.166666666666667,4.166666666666667,expon,23.559185989764064,"(0.0, 4.166666666666667)",1.7333333333333334,1.7333333333333334,expon,4.635643502789403,"(0.0, 1.7333333333333334)",20.50317763904125,9.923634725101369,beta,468.57268168653104,"(np.float64(0.8731986868928061), np.float64(1.0435459449948619), np.float64(4.999999999999999), np.float64(34.03078012241805))"
Jeremy Sochan,11.5,5.484827557301444,uniform,136.32289935364727,"(2.0, 19.0)",6.9,6.9,expon,60.47722675519883,"(0.0, 6.9)",2.433333333333333,2.433333333333333,expon,7.171395451488384,"(0.0, 2.433333333333333)",21.0,9.852354484532562,laplace,456.54546411076643,"(np.float64(21.0), np.float64(6.966666666666667))"
Amen Thompson,15.4547202002734,6.956873931243557,gamma,286.6603253495935,"(np.float64(77.67651995452462), np.float64(-45.85918999871191), np.float64(0.7893493456565932))",9.237327810144013,3.786611969491388,beta,93.76344570822478,"(np.float64(0.952158727582517), np.float64(1.0554406112338897), np.float64(2.9999999999999996), np.float64(13.151226602122499))",5.5,3.1754264805429413,uniform,28.81542699724518,"(0.0, 11.0)",29.333333333333332,16.333333333333332,expon,948.31679032521,"(13.0, 16.333333333333332)"
De'Aaron Fox,23.0,7.636753236814714,laplace,546.0358514332121,"(np.float64(23.0), np.float64(5.4))",4.833333333333333,3.833333333333333,expon,28.23166265443534,"(1.0, 3.833333333333333)",6.633333333333334,3.6333333333333337,expon,49.8616303487024,"(3.0, 3.6333333333333337)",33.93333333333333,14.93333333333333,expon,1198.5531818840655,"(19.0, 14.93333333333333)"
Jalen Green,23.236216945122585,8.464799537859287,invgauss,613.7527306940308,"(np.float64(0.016899402392909213), np.float64(-41.8787769415487), np.float64(3853.0944688312034))",4.0,4.0,expon,20.251177777424285,"(0.0, 4.0)",3.6,3.6,expon,17.181377668713125,"(0.0, 3.6)",31.033333333333335,22.033333333333335,expon,1044.923213608821,"(9.0, 22.033333333333335)"
Harrison Barnes,11.410053047846304,7.241568716790546,beta,176.46041293253475,"(np.float64(0.8968372072207187), np.float64(1.0727544982423027), np.float64(-2.1488248454872697e-24), np.float64(25.058222006170993))",4.5,2.0207259421636903,uniform,20.014965986394554,"(1.0, 7.0)",1.8666666666666667,1.8666666666666667,expon,5.840337464790717,"(0.0, 1.8666666666666667)",17.0,8.673843182554984,laplace,384.4726715653109,"(np.float64(17.0), np.float64(6.133333333333334))"
Keldon Johnson,10.984681151174751,6.9274846266814665,beta,170.84033206196975,"(np.float64(0.9041823201302046), np.float64(2.213225863196117), np.float64(1.9999999999999998), np.float64(30.977069471140027))",3.7,3.7,expon,18.19961299380784,"(0.0, 3.7)",2.5,1.4433756729740643,uniform,3.2213333333333334,"(0.0, 5.0)",16.528315458313095,8.468506809900417,t,344.05827082152695,"(np.float64(1055.93182025958), np.float64(16.528315458313095), np.float64(8.460483071607875))"
Jabari Smith Jr.,11.270976593818014,6.150255403413161,beta,165.90680358075235,"(np.float64(0.9585597847813305), np.float64(2.208762409931947), np.float64(2.9999999999999996), np.float64(27.3293832617127))",5.4038176904372035,3.504751714210561,beta,49.33309278603145,"(np.float64(0.9638654720049433), np.float64(3.0779074122226224), np.float64(0.9999999999999999), np.float64(18.466509534018734))",1.0,1.084230397819373,laplace,2.182329946335178,"(np.float64(1.0), np.float64(0.7666666666666667))",18.566666666666666,13.566666666666666,expon,420.25801175389694,"(5.0, 13.566666666666666)"
Bismack Biyombo,inf,inf,pareto,38.70015032175743,"(np.float64(0.26450818785798363), np.float64(-0.05671438018293713), np.float64(0.056714380182937126))",inf,inf,pareto,30.088581326522416,"(np.float64(0.26474194160863834), np.float64(-0.046653375873310386), np.float64(0.04665337587331038))",1.0,0.5773502691896257,uniform,0.95,"(0.0, 2.0)",inf,inf,pareto,203.28687266072347,"(np.float64(0.26327070241016814), np.float64(-0.11521274515444499), np.float64(0.11521274515444498))"
