Player,Current Team,Opponent Team,Home Team,Away Team,Stat Type,Prop Line,Probability,Bet
LaMelo Ball,CHA,DAL,CHA,DAL,points,23.5,0.5810222185955587,over
Giannis Antetokounmpo,MIL,DEN,DEN,MIL,rebounds,11.5,0.578620489740868,over
Zion Williamson,NOP,PHX,NOP,PHX,rebounds,6.5,0.5776363353695766,over
Dorian Finney-Smith,LAL,MIN,MIN,LAL,rebounds,4.5,0.5772814826410314,under
Gary Trent Jr.,MIL,DEN,DEN,MIL,pts_rebs_asts,12.5,0.5756374845052462,over
Gabe Vincent,LAL,MIN,MIN,LAL,rebounds,1.5,0.5721435313841035,under
Giannis Antetokounmpo,MIL,DEN,DEN,MIL,points,29.5,0.5719413025418203,over
AJ Green,MIL,DEN,DEN,MIL,pts_rebs_asts,12.5,0.5707390432939321,under
AJ Green,MIL,DEN,DEN,MIL,assists,1.5,0.5566131352417323,over
Jaden McDaniels,MIN,LAL,MIN,LAL,points,15.5,0.5560410148005576,under
LaMelo Ball,CHA,DAL,CHA,DAL,rebounds,4.5,0.5543051406056283,over
Nick Richards,PHX,NOP,NOP,PHX,assists,0.5,0.5538541965429904,over
Jaden McDaniels,MIN,LAL,MIN,LAL,pts_rebs_asts,24.5,0.5511058928195506,under
Gui Santos,GSW,ORL,GSW,ORL,assists,1.5,0.5497414212057858,under
AJ Green,MIL,DEN,DEN,MIL,points,8.5,0.5476792796678069,under
Aaron Gordon,DEN,MIL,DEN,MIL,pts_rebs_asts,22.5,0.5452750220538995,under
LeBron James,LAL,MIN,MIN,LAL,pts_rebs_asts,39.5,0.5397915120626382,over
Damian Lillard,MIL,DEN,DEN,MIL,points,24.5,0.5358509866263959,over
Yves Missi,NOP,PHX,NOP,PHX,pts_rebs_asts,18.5,0.5329770047929209,under
Brook Lopez,MIL,DEN,DEN,MIL,pts_rebs_asts,19.5,0.5253568035476958,under
Naji Marshall,DAL,CHA,CHA,DAL,points,11.5,0.5241364584454773,under
Draymond Green,GSW,ORL,GSW,ORL,assists,5.5,0.5209644037723425,over
Devin Booker,PHX,NOP,NOP,PHX,assists,8.5,0.5196152422706632,under
Grayson Allen,PHX,NOP,NOP,PHX,points,10.5,0.5148743507920253,over
Gabe Vincent,LAL,MIN,MIN,LAL,pts_rebs_asts,7.5,0.5141957798593415,over
Mike Conley,MIN,LAL,MIN,LAL,pts_rebs_asts,15.5,0.5119968950029278,under
Yves Missi,NOP,PHX,NOP,PHX,points,8.5,0.5114781318742565,under
Quinten Post,GSW,ORL,GSW,ORL,pts_rebs_asts,9.5,0.5110097251669292,under
Gary Payton II,GSW,ORL,GSW,ORL,pts_rebs_asts,7.5,0.507279458847104,under
Bradley Beal,PHX,NOP,NOP,PHX,assists,4.5,0.5043406760691943,under
Donte DiVincenzo,MIN,LAL,MIN,LAL,points,10.5,0.5026013689476283,under
Buddy Hield,GSW,ORL,GSW,ORL,assists,1.5,0.50155382049231,under
Wendell Carter Jr.,ORL,GSW,GSW,ORL,rebounds,8.5,0.5,under
Kentavious Caldwell-Pope,ORL,GSW,GSW,ORL,pts_rebs_asts,10.5,0.5,under
Franz Wagner,ORL,GSW,GSW,ORL,rebounds,5.5,0.5,under
Wendell Carter Jr.,ORL,GSW,GSW,ORL,period_1_points,2.5,0.5,under
Franz Wagner,ORL,GSW,GSW,ORL,points,24.5,0.5,under
Wendell Carter Jr.,ORL,GSW,GSW,ORL,points,8.5,0.5,under
Jimmy Butler,GSW,ORL,GSW,ORL,pts_rebs_asts,30.5,0.5,under
Jimmy Butler,GSW,ORL,GSW,ORL,points,18.5,0.5,under
Jimmy Butler,GSW,ORL,GSW,ORL,rebounds,5.5,0.5,under
Jimmy Butler,GSW,ORL,GSW,ORL,period_1_points,4.5,0.5,under
Cole Anthony,ORL,GSW,GSW,ORL,points,11.5,0.5,under
Franz Wagner,ORL,GSW,GSW,ORL,period_1_points,6.5,0.5,under
Kevon Looney,GSW,ORL,GSW,ORL,pts_rebs_asts,11.5,0.5,under
Franz Wagner,ORL,GSW,GSW,ORL,pts_rebs_asts,34.5,0.5,under
Julian Strawther,DEN,MIL,DEN,MIL,pts_rebs_asts,9.5,0.5,under
Julian Strawther,DEN,MIL,DEN,MIL,points,6.5,0.5,under
Taurean Prince,MIL,DEN,DEN,MIL,period_1_points,2.5,0.5,under
Gary Trent Jr.,MIL,DEN,DEN,MIL,rebounds,2.5,0.5,under
Michael Porter Jr.,DEN,MIL,DEN,MIL,rebounds,7.5,0.5,under
Michael Porter Jr.,DEN,MIL,DEN,MIL,points,16.5,0.5,under
Aaron Gordon,DEN,MIL,DEN,MIL,period_1_points,3.5,0.5,under
Gary Trent Jr.,MIL,DEN,DEN,MIL,points,8.5,0.5,under
Nikola Jokic,DEN,MIL,DEN,MIL,points,26.5,0.5,under
Nikola Jokic,DEN,MIL,DEN,MIL,pts_rebs_asts,49.5,0.5,under
Nikola Jokic,DEN,MIL,DEN,MIL,assists,10.5,0.5,under
Nikola Jokic,DEN,MIL,DEN,MIL,rebounds,12.5,0.5,under
Jamal Murray,DEN,MIL,DEN,MIL,points,21.5,0.5,under
Jamal Murray,DEN,MIL,DEN,MIL,pts_rebs_asts,30.5,0.5,under
Jamal Murray,DEN,MIL,DEN,MIL,assists,5.5,0.5,under
Jamal Murray,DEN,MIL,DEN,MIL,period_1_points,5.5,0.5,under
Russell Westbrook,DEN,MIL,DEN,MIL,assists,4.5,0.5,under
Christian Braun,DEN,MIL,DEN,MIL,period_1_points,3.5,0.5,under
Moses Moody,GSW,ORL,GSW,ORL,period_1_points,2.5,0.5,under
Buddy Hield,GSW,ORL,GSW,ORL,points,9.5,0.5,under
Kentavious Caldwell-Pope,ORL,GSW,GSW,ORL,period_1_points,1.5,0.5,under
Buddy Hield,GSW,ORL,GSW,ORL,pts_rebs_asts,14.5,0.5,under
Damian Lillard,MIL,DEN,DEN,MIL,period_1_points,6.5,0.5,under
Damian Lillard,MIL,DEN,DEN,MIL,pts_rebs_asts,36.5,0.5,under
Kyle Kuzma,MIL,DEN,DEN,MIL,period_1_points,3.5,0.5,under
Kyle Kuzma,MIL,DEN,DEN,MIL,points,15.5,0.5,under
Brook Lopez,MIL,DEN,DEN,MIL,points,12.5,0.5,under
Kyle Kuzma,MIL,DEN,DEN,MIL,rebounds,6.5,0.5,under
Brook Lopez,MIL,DEN,DEN,MIL,period_1_points,2.5,0.5,under
Brook Lopez,MIL,DEN,DEN,MIL,rebounds,4.5,0.5,under
Russell Westbrook,DEN,MIL,DEN,MIL,points,11.5,0.5,under
Russell Westbrook,DEN,MIL,DEN,MIL,rebounds,4.5,0.5,under
Giannis Antetokounmpo,MIL,DEN,DEN,MIL,pts_rebs_asts,47.5,0.5,under
Giannis Antetokounmpo,MIL,DEN,DEN,MIL,assists,5.5,0.5,under
Kevon Looney,GSW,ORL,GSW,ORL,points,4.5,0.5,under
Draymond Green,GSW,ORL,GSW,ORL,pts_rebs_asts,18.5,0.5,under
Stephen Curry,GSW,ORL,GSW,ORL,points,24.5,0.5,under
Paolo Banchero,ORL,GSW,GSW,ORL,pts_rebs_asts,35.5,0.5,under
Paolo Banchero,ORL,GSW,GSW,ORL,rebounds,7.5,0.5,under
Paolo Banchero,ORL,GSW,GSW,ORL,period_1_points,4.5,0.5,under
Paolo Banchero,ORL,GSW,GSW,ORL,points,22.5,0.5,under
Draymond Green,GSW,ORL,GSW,ORL,rebounds,5.5,0.5,under
Stephen Curry,GSW,ORL,GSW,ORL,pts_rebs_asts,34.5,0.5,under
Draymond Green,GSW,ORL,GSW,ORL,points,7.5,0.5,under
Gary Payton II,GSW,ORL,GSW,ORL,points,4.5,0.5,under
Cole Anthony,ORL,GSW,GSW,ORL,period_1_points,2.5,0.5,under
Cole Anthony,ORL,GSW,GSW,ORL,rebounds,3.5,0.5,under
Cole Anthony,ORL,GSW,GSW,ORL,pts_rebs_asts,18.5,0.5,under
Kevon Looney,GSW,ORL,GSW,ORL,rebounds,5.5,0.5,under
Kevin Durant,PHX,NOP,NOP,PHX,pts_rebs_asts,38.5,0.5,under
Kevin Durant,PHX,NOP,NOP,PHX,rebounds,5.5,0.5,under
Max Christie,DAL,CHA,CHA,DAL,rebounds,4.5,0.5,under
Max Christie,DAL,CHA,CHA,DAL,points,13.5,0.5,under
Max Christie,DAL,CHA,CHA,DAL,pts_rebs_asts,21.5,0.5,under
Kevin Durant,PHX,NOP,NOP,PHX,points,27.5,0.5,under
Kyrie Irving,DAL,CHA,CHA,DAL,points,27.5,0.5,under
Kessler Edwards,DAL,CHA,CHA,DAL,period_1_points,1.5,0.5,under
Naji Marshall,DAL,CHA,CHA,DAL,rebounds,4.5,0.5,under
Kyrie Irving,DAL,CHA,CHA,DAL,pts_rebs_asts,38.5,0.5,under
Klay Thompson,DAL,CHA,CHA,DAL,points,15.5,0.5,under
Klay Thompson,DAL,CHA,CHA,DAL,pts_rebs_asts,22.5,0.5,under
Klay Thompson,DAL,CHA,CHA,DAL,rebounds,4.5,0.5,under
LaMelo Ball,CHA,DAL,CHA,DAL,period_1_points,5.5,0.5,under
Julian Strawther,DEN,MIL,DEN,MIL,rebounds,1.5,0.5,under
Grayson Allen,PHX,NOP,NOP,PHX,rebounds,3.5,0.5,under
Bradley Beal,PHX,NOP,NOP,PHX,points,18.5,0.5,under
Bradley Beal,PHX,NOP,NOP,PHX,pts_rebs_asts,27.5,0.5,under
Bradley Beal,PHX,NOP,NOP,PHX,rebounds,3.5,0.5,under
Devin Booker,PHX,NOP,NOP,PHX,period_1_points,7.5,0.5,under
Nick Richards,PHX,NOP,NOP,PHX,period_1_points,2.5,0.5,under
Devin Booker,PHX,NOP,NOP,PHX,points,27.5,0.5,under
Devin Booker,PHX,NOP,NOP,PHX,pts_rebs_asts,39.5,0.5,under
Trey Murphy III,NOP,PHX,NOP,PHX,period_1_points,6.5,0.5,under
Nick Richards,PHX,NOP,NOP,PHX,points,8.5,0.5,under
Nick Richards,PHX,NOP,NOP,PHX,pts_rebs_asts,16.5,0.5,under
CJ McCollum,NOP,PHX,NOP,PHX,rebounds,3.5,0.5,under
Yves Missi,NOP,PHX,NOP,PHX,period_1_points,2.5,0.5,under
Trey Murphy III,NOP,PHX,NOP,PHX,points,21.5,0.5,under
Trey Murphy III,NOP,PHX,NOP,PHX,pts_rebs_asts,32.5,0.5,under
Trey Murphy III,NOP,PHX,NOP,PHX,rebounds,5.5,0.5,under
Zion Williamson,NOP,PHX,NOP,PHX,period_1_points,5.5,0.5,under
Kevin Durant,PHX,NOP,NOP,PHX,period_1_points,6.5,0.5,under
CJ McCollum,NOP,PHX,NOP,PHX,pts_rebs_asts,26.5,0.5,under
CJ McCollum,NOP,PHX,NOP,PHX,period_1_points,5.5,0.5,under
Kyrie Irving,DAL,CHA,CHA,DAL,assists,5.5,0.5,under
PJ Washington,DAL,CHA,CHA,DAL,points,17.5,0.5,under
PJ Washington,DAL,CHA,CHA,DAL,pts_rebs_asts,29.5,0.5,under
Kyrie Irving,DAL,CHA,CHA,DAL,period_1_points,6.5,0.5,under
PJ Washington,DAL,CHA,CHA,DAL,assists,3.5,0.5,under
PJ Washington,DAL,CHA,CHA,DAL,rebounds,9.5,0.5,under
LeBron James,LAL,MIN,MIN,LAL,assists,7.5,0.5,under
LeBron James,LAL,MIN,MIN,LAL,points,24.5,0.5,under
Jose Alvarado,NOP,PHX,NOP,PHX,rebounds,3.5,0.5,under
Jose Alvarado,NOP,PHX,NOP,PHX,assists,5.5,0.5,under
Jose Alvarado,NOP,PHX,NOP,PHX,pts_rebs_asts,19.5,0.5,under
Grayson Allen,PHX,NOP,NOP,PHX,assists,2.5,0.5,under
Donte DiVincenzo,MIN,LAL,MIN,LAL,rebounds,3.5,0.5,under
Dorian Finney-Smith,LAL,MIN,MIN,LAL,pts_rebs_asts,12.5,0.5,under
Luka Doncic,LAL,MIN,MIN,LAL,period_1_points,7.5,0.5,under
Luka Doncic,LAL,MIN,MIN,LAL,points,26.5,0.5,under
Luka Doncic,LAL,MIN,MIN,LAL,rebounds,8.5,0.5,under
Luka Doncic,LAL,MIN,MIN,LAL,pts_rebs_asts,43.5,0.5,under
Donte DiVincenzo,MIN,LAL,MIN,LAL,assists,3.5,0.5,under
Jose Alvarado,NOP,PHX,NOP,PHX,points,10.5,0.5,under
Jordan Hawkins,NOP,PHX,NOP,PHX,assists,1.5,0.5,under
Jordan Hawkins,NOP,PHX,NOP,PHX,points,11.5,0.5,under
Bol Bol,PHX,NOP,NOP,PHX,points,13.5,0.5,under
Jordan Hawkins,NOP,PHX,NOP,PHX,rebounds,2.5,0.5,under
Bol Bol,PHX,NOP,NOP,PHX,pts_rebs_asts,21.5,0.5,under
Bol Bol,PHX,NOP,NOP,PHX,period_1_points,3.5,0.5,under
Naz Reid,MIN,LAL,MIN,LAL,assists,2.5,0.5,under
Gabe Vincent,LAL,MIN,MIN,LAL,assists,0.5,0.5,under
Austin Reaves,LAL,MIN,MIN,LAL,period_1_points,4.5,0.5,under
Austin Reaves,LAL,MIN,MIN,LAL,assists,5.5,0.5,under
Anthony Edwards,MIN,LAL,MIN,LAL,points,28.5,0.5,under
Anthony Edwards,MIN,LAL,MIN,LAL,rebounds,6.5,0.5,under
Jaxson Hayes,LAL,MIN,MIN,LAL,assists,0.5,0.5,under
Naz Reid,MIN,LAL,MIN,LAL,period_1_points,4.5,0.5,under
Jaxson Hayes,LAL,MIN,MIN,LAL,pts_rebs_asts,12.5,0.5,under
Jaxson Hayes,LAL,MIN,MIN,LAL,period_1_points,1.5,0.5,under
Jaden McDaniels,MIN,LAL,MIN,LAL,rebounds,6.5,0.5,under
Rui Hachimura,LAL,MIN,MIN,LAL,rebounds,5.5,0.5,under
Rui Hachimura,LAL,MIN,MIN,LAL,points,14.5,0.5,under
Mike Conley,MIN,LAL,MIN,LAL,points,7.5,0.5,under
Mike Conley,MIN,LAL,MIN,LAL,assists,4.5,0.5,under
Nickeil Alexander-Walker,MIN,LAL,MIN,LAL,pts_rebs_asts,17.5,0.5,under
Nickeil Alexander-Walker,MIN,LAL,MIN,LAL,assists,2.5,0.5,under
Nickeil Alexander-Walker,MIN,LAL,MIN,LAL,rebounds,4.5,0.5,under
Stephen Curry,GSW,ORL,GSW,ORL,assists,5.5,,under
Gary Payton II,GSW,ORL,GSW,ORL,assists,0.5,,under
Quinten Post,GSW,ORL,GSW,ORL,points,5.5,,under
Christian Braun,DEN,MIL,DEN,MIL,assists,2.5,,under
Michael Porter Jr.,DEN,MIL,DEN,MIL,assists,1.5,,under
Gary Trent Jr.,MIL,DEN,DEN,MIL,assists,1.5,,under
Klay Thompson,DAL,CHA,CHA,DAL,assists,2.5,,under
Austin Reaves,LAL,MIN,MIN,LAL,pts_rebs_asts,28.5,,under
