Player,Stat Type,EV_over,EV_under
Tyrese Haliburton,Points,-0.9999988010960692,1.9999987746992645
Tyrese Haliburton,Pts + Rebs + Asts,-0.9999998253445881,1.9999998232653269
Tyrese Haliburton,1Q Points,-0.999963737989674,1.9999637193805029
Tyrese Haliburton,Assists,-0.9999951245388274,1.9999951482813003
Alex Sarr,Points,-0.999952051181026,1.9999520645233133
Alex Sarr,Pts + Rebs + Asts,-0.999868405117013,1.9998683990306745
Alex Sarr,Rebounds,-0.9999622927080054,1.9999622814839313
Alex Sarr,Assists,-0.9999932176501716,1.9999932113603336
Andrew Nembhard,Points,-0.9998156943911454,1.9998156686124275
Andrew Nembhard,Pts + Rebs + Asts,-0.9999717897171649,1.9999717685577707
Andrew Nembhard,1Q Points,-0.9998455154709518,1.999845510115847
Andrew Nembhard,Rebounds,-0.9999013498163549,1.9999013222623034
Aaron Nesmith,Points,-0.9999593742631987,1.9999593917500533
Aaron Nesmith,Pts + Rebs + Asts,-0.9999636492066202,1.999963674988976
Aaron Nesmith,1Q Points,-0.9999985326459182,1.9999985510672218
Aaron Nesmith,Rebounds,-0.9999781825335958,1.999978183616804
Bilal Coulibaly,Points,-0.9999379431319539,1.9999379473483714
Bilal Coulibaly,Pts + Rebs + Asts,-0.999999878589307,1.9999998498876863
Bilal Coulibaly,Assists,-0.9997649828146677,1.9997650106524816
Bilal Coulibaly,Rebounds,-0.9999969919654177,1.999996976064267
Obi Toppin,Points,-0.9999785070531289,1.9999785246905049
Obi Toppin,Pts + Rebs + Asts,-0.9999906696793914,1.9999906856774032
Obi Toppin,Rebounds,-0.9998149394232314,1.999814933500602
Obi Toppin,Assists,-0.9999580133826385,1.999957996054036
Pascal Siakam,Points,-0.9999733491076768,1.999973352915731
Pascal Siakam,Pts + Rebs + Asts,-0.9999962645247251,1.9999962547160521
Pascal Siakam,1Q Pts + Rebs + Asts,-0.9999989733827874,1.9999989502495907
Pascal Siakam,Rebounds,-0.9999659924596926,1.9999660089060853
Jordan Poole,Points,-0.999999701145569,1.9999996717588502
Jordan Poole,Pts + Rebs + Asts,-0.9999790484062032,1.9999790635879435
Jordan Poole,1Q Pts + Rebs + Asts,-0.9999925237493699,1.999992506782064
Jordan Poole,1Q Points,-0.9999746079574834,1.9999746081894045
Corey Kispert,Points,-0.9997971704578958,1.999797197728185
Corey Kispert,Pts + Rebs + Asts,-0.9999819950780875,1.9999819674353603
Corey Kispert,Assists,-0.9999947934581996,1.999994803927052
Corey Kispert,Rebounds,-0.9999956755505082,1.9999956920080422
Bub Carrington,Points,-0.9999458677448274,1.9999458435613633
Bub Carrington,Pts + Rebs + Asts,-0.9997884623735445,1.9997884627446183
Bub Carrington,Assists,-0.9998621556296712,1.9998621450431529
Bub Carrington,Rebounds,-0.999996942802909,1.9999969514830127
Thomas Bryant,Points,-0.9999835204189367,1.9999835347684893
Thomas Bryant,Pts + Rebs + Asts,-0.9999812779806234,1.9999812512587596
Thomas Bryant,Assists,-0.9999874985724091,1.9999874907985031
Thomas Bryant,1Q Pts + Rebs + Asts,-0.9999804806593602,1.9999804949702593
Kyshawn George,Points,-0.9999969784071254,1.999996969285121
Kyshawn George,Pts + Rebs + Asts,-0.9999983764330409,1.999998383553816
Kyshawn George,Rebounds,-0.999926887692709,1.9999268763967848
Kyshawn George,1Q Points,-0.9999998222307909,1.9999998217084283
Trae Young,Points,-0.9998832178753219,1.9998832261881034
Trae Young,Pts + Rebs + Asts,-0.9998292030068114,1.999829217849765
